,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Wolves,"Selena Gomez",152080,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
2,"So Far Away (feat. Jamie Scott & Romy Dya)","Martin Garrix",141934,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
3,Havana,"Camila Cabello",122499,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
4,"River (feat. Ed Sheeran)",Eminem,116876,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
5,"Something Just Like This","The Chainsmokers",112031,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
6,"Him & I (with Halsey)",G-Eazy,108217,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
7,"What Lovers Do (feat. SZA)","Maroon 5",108210,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
8,"Shape of You","Ed Sheeran",108039,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
9,"All Falls Down (feat. Juliander)","Alan Walker",105906,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
10,偷故事的人,"A-Mei Chang",103031,https://open.spotify.com/track/4HAiI0c2CxB5iUFlo7cbbP
11,言不由衷,"LaLa Hsu",101129,https://open.spotify.com/track/3AIvgFB3YTo349ZlcfOnOo
12,"Too Good At Goodbyes","Sam Smith",96701,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
13,"New Rules","Dua Lipa",95184,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
14,連名帶姓,"A-Mei Chang",95014,https://open.spotify.com/track/2HVlPD7l46qVItJl26XsLi
15,灰色,"LaLa Hsu",94353,https://open.spotify.com/track/1dIKxlEtHBABzk1DlRNCxc
16,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",93844,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
17,偉大的渺小,"JJ Lin",93690,https://open.spotify.com/track/1P2RxojrM3KEoKgM7pbc9i
18,"Rewrite The Stars","Zac Efron",91916,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
19,"魚仔 - 電視劇<花甲男孩轉大人>主題曲","Crowd Lu",91205,https://open.spotify.com/track/2sb6AZQLeoD3VgA4zglQB6
20,"How Long","Charlie Puth",88153,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
21,"追光者 - 電視劇夏至未至插曲","Yoyo Sham",87471,https://open.spotify.com/track/66LKcDWIHdqWEaviZhcMTx
22,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",87122,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
23,身後,"A-Mei Chang",86285,https://open.spotify.com/track/5AI9vJ8S0wtuqJNrgH1Oyi
24,"This Is Me","Keala Settle",84521,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U
25,"I Miss You (feat. Julia Michaels)","Clean Bandit",80319,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
26,演員,"Joker Xue",79975,https://open.spotify.com/track/6LunoYd3xpZ19sICOXS8Xd
27,"Never Be the Same","Camila Cabello",78286,https://open.spotify.com/track/6VpQdig9pdpTSIFItgkJV5
28,如果雨之後,"Eric Chou",77768,https://open.spotify.com/track/6kabSi7XCHHGThNme6J2tL
29,"Never Enough","Loren Allred",75445,https://open.spotify.com/track/0Gl5s8IhMmQE5YQwM8Qx1J
30,rockstar,"Post Malone",75174,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
31,"Let You Down",NF,74196,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
32,"The Greatest Show","Hugh Jackman",72135,https://open.spotify.com/track/43ay9lQZ5rfNcOOHhRF2cM
33,"MIC Drop (feat. Desiigner) [Steve Aoki Remix]",BTS,71029,https://open.spotify.com/track/7Ed6BkggCS2KaKY5YlINaF
34,Silence,Marshmello,70266,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
35,"Dusk Till Dawn - Radio Edit",ZAYN,69535,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
36,Perfect,"Ed Sheeran",69510,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
37,Attention,"Charlie Puth",68243,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
38,飄向北方,Namewee,68130,https://open.spotify.com/track/5mS0BGxAAebA3amJg6LkVk
39,後來的我們,Mayday,65059,https://open.spotify.com/track/0qepAQsUGIzofBj82iP17C
40,Closer,"The Chainsmokers",64835,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
41,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",63903,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
42,"Despacito - Remix","Luis Fonsi",63465,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
43,年輪說,"Rainie Yang",63149,https://open.spotify.com/track/51PYzHOuwTngW2whaPoYFW
44,"光年之外 (電影 《Passengers》 中國區主題曲)",G.E.M.,61066,https://open.spotify.com/track/1bkvGbgK4HU8B7Ue4k7O7I
45,Stay,Zedd,60791,https://open.spotify.com/track/0I20rLT2MJDhcF96AjbNYo
46,黑夜問白天,"JJ Lin",58597,https://open.spotify.com/track/5KNh5YQgfduzV4028Cfh3J
47,家家酒,"Jia Jia",57499,https://open.spotify.com/track/6cqG6uyhuGDqsRyBwFrzxJ
48,"Symphony (feat. Zara Larsson)","Clean Bandit",57314,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
49,刚好遇见你,"Li Yugang",55627,https://open.spotify.com/track/262Q20zX8BmAOIA6cFB2t9
50,"There for You","Martin Garrix",55556,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
