,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,怪美的,"Jolin Tsai",296623,https://open.spotify.com/track/0cONHWTIfgEpAuVwbbwGgc
2,"有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲",A-Lin,189359,https://open.spotify.com/track/3ayrHkyorPEpeOBvZ76SwG
3,"Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version","Skylar Grey",187461,https://open.spotify.com/track/1SO5RyYJZUAI0aHkAkrF2p
4,"thank u, next","Ariana Grande",152594,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
5,浪流連,EggPlantEgg,149600,https://open.spotify.com/track/2GJ9TC1R5yzZ2gYPKGPGyp
6,玫瑰少年,"Jolin Tsai",137865,https://open.spotify.com/track/2uHMTG5xr9Xk7MrXIWrVUH
7,"Without Me",Halsey,135810,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
8,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",132846,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
9,消極掰,"Jolin Tsai",129709,https://open.spotify.com/track/5q6vEm0FWQwJVwanUm8rjf
10,Shallow,"Lady Gaga",126320,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
11,浪子回頭,EggPlantEgg,125778,https://open.spotify.com/track/7J6wLr8qRqLPMeOZlR54NM
12,你也有今天,"Jolin Tsai",124187,https://open.spotify.com/track/0UuA3sgP6Qftl7nzfnOFoa
13,"Forever Young","Eve Ai",121374,https://open.spotify.com/track/25sQT3yCEgd1uE6LC9ivcs
14,年少有為,"Ronghao Li",120288,https://open.spotify.com/track/6XY80Ofqd8j0SGiEdRLwCp
15,Wow.,"Post Malone",117000,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
16,倒數,G.E.M.,116538,https://open.spotify.com/track/2HmM5p02Q2qrYZvXJRLVx3
