,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
17,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",110238,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
18,甜秘密,"Jolin Tsai",107087,https://open.spotify.com/track/46XrZSbu9A8w3EMMjRPaFt
19,如果我沒有傷口,"Jolin Tsai",106144,https://open.spotify.com/track/7jWZPpaNaO8tp6p5RRcNG7
20,體面(電影《前任3:再見前任》插曲),"Kelly Yu",104188,https://open.spotify.com/track/7cE5ehlKJ3L9Ejhzm3udcF
21,連名帶姓,"A-Mei Chang",97864,https://open.spotify.com/track/4a5FvWpFaCs3YOzEnnpgR0
22,紅衣女孩,"Jolin Tsai",96964,https://open.spotify.com/track/4K7RVctw6wgiwEJcP0eWiF
23,慢慢喜歡你,"Karen Mok",96961,https://open.spotify.com/track/7EoyERNueJuFlQbyrRB0US
24,imagine,"Ariana Grande",96729,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F
25,SOLO,JENNIE,96705,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj
26,"Fire On Fire - From ""Watership Down""","Sam Smith",91551,https://open.spotify.com/track/5rFj8OzffT0iggSjcBaeND
27,"Bad Liar","Imagine Dragons",91082,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
28,腦公,"Jolin Tsai",89036,https://open.spotify.com/track/50ZM3drEKbAIKDfrbRYvX8
29,"我還年輕 我還年輕",老王樂隊,87880,https://open.spotify.com/track/5o48kuQnPwhuRAzO2t0bCU
30,愛的羅曼死,"Jolin Tsai",87280,https://open.spotify.com/track/4Tc7tDRZMf4T31sCc30dvZ
31,"Always Remember Us This Way","Lady Gaga",86292,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
32,"Saturday Nights",Khalid,83092,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
33,"追光者 - 電視劇夏至未至插曲","Yoyo Sham",83070,https://open.spotify.com/track/66LKcDWIHdqWEaviZhcMTx
34,"Rewrite The Stars (with James Arthur & Anne-Marie)","James Arthur",82203,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV
35,惡之必要,"Jolin Tsai",82106,https://open.spotify.com/track/1YGqcBxzQxMF9ToK99soIK
36,岩石裡的花,G.E.M.,81900,https://open.spotify.com/track/1HhPL0MH5bkJrOnW933joC
37,"Ruin My Life","Zara Larsson",81075,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
38,"Sweet but Psycho","Ava Max",80137,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
39,"Way Back Home (feat. Conor Maynard) - Sam Feldt Edit",SHAUN,78743,https://open.spotify.com/track/1ZLrDPgR7mvuTco3rQK8Pk
40,"幾分之幾 - 電影<花甲大人轉男孩>主題曲","Crowd Lu",78732,https://open.spotify.com/track/4F7ZAsndEIJXyFzJUHNlRu
41,"Girls Like You (feat. Cardi B)","Maroon 5",76413,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
42,你睡醒再看,"Jolin Tsai",75499,https://open.spotify.com/track/2FD5kjVgqTwOj3j60Q5br4
43,Happier,Marshmello,73059,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
44,Hope,"The Chainsmokers",72915,https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5
45,2002,Anne-Marie,71095,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
46,買榜,Kumachan,70462,https://open.spotify.com/track/67LTN04r77CavIkE7dc4tF
47,"Different World (feat. CORSAK)","Alan Walker",68455,https://open.spotify.com/track/4heFQCyiW0RUEX1Q1lb008
48,"我們 - 《後來的我們》電影主題曲","Eason Chan",67947,https://open.spotify.com/track/0Uf0SvwUrf02ucIt1d0Wos
49,說散就散,"JC 陳泳彤",67680,https://open.spotify.com/track/3CE1HoJJ0FVKo7JHsWIuvC
50,"備胎 (feat. Eetu Kalavainen)",R-chord,66834,https://open.spotify.com/track/6OuBzoZm0GHYzPNGlvB3yx
51,"This Feeling","The Chainsmokers",66392,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
52,"YES or YES",TWICE,66348,https://open.spotify.com/track/184XtKkzoAl83quIarUAJP
53,讓我逃離平庸的生活,"Ann Bai",63651,https://open.spotify.com/track/5ZdFoPSnhJEVdyoOD08W2Y
54,遺書,"Tanya Chua",62889,https://open.spotify.com/track/3OAus00QiDUhoya5chQ2As
55,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",62196,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
56,"Love Someone","Lukas Graham",60934,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
57,Better,Khalid,60754,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
58,"Be Alright","Dean Lewis",60733,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
59,"Lie To Me","5 Seconds of Summer",60594,https://open.spotify.com/track/3567eNX2L3RkkMkwspncMH
60,言不由衷,"LaLa Hsu",60372,https://open.spotify.com/track/3AIvgFB3YTo349ZlcfOnOo
61,青春住了誰,"Rainie Yang",60109,https://open.spotify.com/track/0JddqUycMUJv6IoOzwUCVG
62,"Eastside (with Halsey & Khalid)","benny blanco",59637,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
63,"魚仔 - 電視劇<花甲男孩轉大人>主題曲","Crowd Lu",57256,https://open.spotify.com/track/2sb6AZQLeoD3VgA4zglQB6
64,"光年之外 (電影 《Passengers》 中國區主題曲)",G.E.M.,57231,https://open.spotify.com/track/1bkvGbgK4HU8B7Ue4k7O7I
65,"Waste It On Me (feat. BTS)","Steve Aoki",56571,https://open.spotify.com/track/2J0X46UkpfLlWbuCXFgDLr
66,如果雨之後,"Eric Chou",56470,https://open.spotify.com/track/6kabSi7XCHHGThNme6J2tL
67,"Kiss and Make Up","Dua Lipa",56180,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
68,等你下課,"Jay Chou",54641,https://open.spotify.com/track/76WthWB0v0KXUHZoAclMVV
69,進階,"JJ Lin",54513,https://open.spotify.com/track/0EQ7IBLaVhxF8qOA4E4sF8
70,"Fairy tale","Yoga Lin",54458,https://open.spotify.com/track/5EXpL9orGpIsscSyBgPdSx
71,"Beautiful (feat. Camila Cabello)",Bazzi,53622,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
72,讓我為你唱情歌,"Jam Hsiao",53562,https://open.spotify.com/track/0BuTVSIbiQGdxW7njjKng7
73,長途夜車,"Fire EX.",53154,https://open.spotify.com/track/3aH4zwCqiIEH08zbJO4jlH
74,"Happy Now",Kygo,52825,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
75,演員,"Joker Xue",52798,https://open.spotify.com/track/6LunoYd3xpZ19sICOXS8Xd
76,在青春迷失的咖啡館,"Cyndi Wang",52681,https://open.spotify.com/track/77xwukOvyqpUwDQFBNvKNO
77,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",51103,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
78,"Lost Control","Alan Walker",51037,https://open.spotify.com/track/0lG6QM1jjbbX5UUn3DPmrZ
79,後來的我們,Mayday,50332,https://open.spotify.com/track/13AruKdh8wJhWx6i5dV8X1
80,"Going Bad (feat. Drake)","Meek Mill",49805,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
81,"Head Above Water","Avril Lavigne",49528,https://open.spotify.com/track/1N7YeVU0ZwAFbOhwM61ef6
82,Darkside,"Alan Walker",48704,https://open.spotify.com/track/6SRWhUJcD2YKahCwHavz3X
83,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,48362,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
84,B.O.,ØZI,47992,https://open.spotify.com/track/2LoGv4HSbilp1SVoQ10Qw6
85,不愛我就拉倒,"Jay Chou",47904,https://open.spotify.com/track/4sQSweqHEeinUxoFBG3QeF
86,耳朵,"Ronghao Li",47856,https://open.spotify.com/track/7B8gZQY2KaAP1Dn1fhDU67
87,"Let You Love Me","Rita Ora",46996,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
88,BBIBBI,IU,46901,https://open.spotify.com/track/4as4XEOR03oGm1STUKl6pa
89,"Pian Jia Pian Jia",頑童Mj116,46620,https://open.spotify.com/track/3QpAHmfhIlBwmr5lHknkTk
90,大眠,"Cyndi Wang",46564,https://open.spotify.com/track/3rSZRMIfccgJxd1TvQLa7v
91,讓我留在你身邊,"Eason Chan",46400,https://open.spotify.com/track/07MNtfddtgCo6VrUm3O9dw
92,MILLIONS,WINNER,46302,https://open.spotify.com/track/5wIMMlbIGCNAXnGy0ijojN
93,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse","Nicki Minaj",46221,https://open.spotify.com/track/4Uy3kNxW2kB8AEoXljEcth
94,我們都是有歌的人,"Maggie Chiang",46127,https://open.spotify.com/track/46hfMzCLuyFy7OMGGGXCsd
95,"I'll Never Love Again - Film Version - Radio Edit","Lady Gaga",45687,https://open.spotify.com/track/3DKpA54hrFIdPN6AtL9HXa
96,身後,"A-Mei Chang",45322,https://open.spotify.com/track/5niImrS3tokLyQ8uHKswt1
97,Unrequited,"Yoga Lin",44621,https://open.spotify.com/track/2eOpn0ix5JGf47vUBUqZnV
98,刚好遇见你,"Li Yugang",44493,https://open.spotify.com/track/262Q20zX8BmAOIA6cFB2t9
99,POP/STARS,K/DA,43691,https://open.spotify.com/track/5sbooPcNgIE22DwO0VNGUJ
100,半句再見,"Stefanie Sun",42864,https://open.spotify.com/track/2GbrvTwp37fiJ8JSMGg3Tl
101,"Shape of You","Ed Sheeran",42634,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
102,告白氣球,"Jay Chou",42537,https://open.spotify.com/track/1ivCIgrYZyE0BvItL4Z8lk
103,"All Falls Down (feat. Juliander)","Alan Walker",42359,https://open.spotify.com/track/1HvCFAUIWQsWV9zud3UhDl
104,"La Vie en Rose",IZ*ONE,41635,https://open.spotify.com/track/1fRaznZsAB2i63TtmYv2Hc
105,"Something Just Like This","The Chainsmokers",41422,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
106,那些你很冒險的夢,"JJ Lin",40938,https://open.spotify.com/track/5kZDxLcbqglZ2yYXg4Mkjc
107,失落沙洲,"LaLa Hsu",40779,https://open.spotify.com/track/4vBoopG4WzohMju1GUmwoi
108,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",39985,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
109,"Stand Out Fit In","ONE OK ROCK",39091,https://open.spotify.com/track/1vVm7saDXHk99SU5BFUDpp
110,擋一根,Bisiugroup,39086,https://open.spotify.com/track/6439IQyiZV5I7aOo8UREgm
111,睡吧寶貝,Gordon,38687,https://open.spotify.com/track/5NYMKEcaapPQdxu1jFdveW
112,"Beach House","The Chainsmokers",38642,https://open.spotify.com/track/2bQhVQbV7VBzSOPo8mbkUR
113,不為誰而作的歌,"JJ Lin",37842,https://open.spotify.com/track/0VqSdtXseb9khdZrnYVyM1
114,小幸運,"Hebe Tien",37545,https://open.spotify.com/track/1ZeVIrCWzEmsJexkrgvjFv
115,"The Middle",Zedd,36807,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
116,戒菸,"Ronghao Li",36629,https://open.spotify.com/track/65KjitGykI5QIcsYrNhPZR
117,"Havana (feat. Young Thug)","Camila Cabello",36001,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
118,突然好想你,Mayday,35998,https://open.spotify.com/track/0IAgufC1FlOg1nZMmRZxRr
119,"Love Shot",EXO,35911,https://open.spotify.com/track/33NAYATbWRoo5RuEP30JBZ
120,Lemon,"Kenshi Yonezu",35720,https://open.spotify.com/track/35KlorpQ6LQVVslvlcu1gN
121,"High Hopes","Panic! At The Disco",35695,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
122,天真有邪,"Yoga Lin",35445,https://open.spotify.com/track/6ym1AfJcqGuu7TLxQIfl0m
123,家家酒,"Jia Jia",35409,https://open.spotify.com/track/6mO5fCJKvB9tr5RAFvBO7z
124,"說散就散 - ""前任3: 再見前任"" 電影主題曲","Tia Ray",34973,https://open.spotify.com/track/1YfDfk1s3U1iexGila4UC2
125,"從心 (電視劇《推手》主題曲)",A-Lin,34154,https://open.spotify.com/track/0xh4NJr7VJXos7kC3dTC8D
126,"Solo (feat. Demi Lovato)","Clean Bandit",34125,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h
127,猜不透,Della,33986,https://open.spotify.com/track/5FGzM47D9MUa0y7qb2D0Ix
128,日常,EggPlantEgg,33962,https://open.spotify.com/track/5os0kLggrm4cynK8RsOMVf
129,Wolves,"Selena Gomez",33704,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
130,她說,"JJ Lin",33666,https://open.spotify.com/track/632VyMrvhsHIsO4zq9khts
131,當我們不在一起,Quarterback,33301,https://open.spotify.com/track/3Fb8RJ1aUgZYh8AsuCaxk8
132,我要給世界最悠長的濕吻,"Tanya Chua",33163,https://open.spotify.com/track/2UFmTI7g4aLgpWmaCcTEvI
133,Perfect,"Ed Sheeran",33091,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
134,那一夜,G.E.M.,33083,https://open.spotify.com/track/08c5NspNVZZUfuAAH1dtKt
135,泡沫,G.E.M.,32930,https://open.spotify.com/track/2IfSPLPDW6RGosdB5huwAA
136,Closer,"The Chainsmokers",32697,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
137,"你啊你啊 - 電視劇「用九柑仔店」插曲","Waa Wei",32359,https://open.spotify.com/track/4nyO1azSuhT5JrETvzEahs
138,全是愛,"Jam Hsiao",32295,https://open.spotify.com/track/2NrllzhpAiN5FTKBGxYy35
139,"no tears left to cry","Ariana Grande",32227,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
140,"It's you (feat. 王艷薇)",R-chord,31957,https://open.spotify.com/track/180XNef4tO7m9VW4xfLGus
141,"我不是白馬王子 (feat. 高爾宣 & 李杰明)",R-chord,31559,https://open.spotify.com/track/3v9017g56OYJzBmBtSxzSi
142,Trampoline,SHAED,31546,https://open.spotify.com/track/0lsRatBUs9HNIZAmoGABzk
143,"未完的眷戀 - 電視劇《我與你的光年距離2》主題曲",A-Lin,31500,https://open.spotify.com/track/3tZTkleTmklkWbYB1HGsvz
144,我懷念的,"Stefanie Sun",31392,https://open.spotify.com/track/7z2M7DsEjZjwXBkWG3zd21
145,"我有多麼喜歡你 (feat. 林宥嘉)","Jam Hsiao",31251,https://open.spotify.com/track/4ocbEHPHKDfGZz6va77bEo
146,可惜沒如果,"JJ Lin",31047,https://open.spotify.com/track/6WoQzK5Exbfcmow1AoNRkl
147,"There's No Way (feat. Julia Michaels)",Lauv,31047,https://open.spotify.com/track/2hnxrRNzF74mdDzpQZQukQ
148,以後別做朋友,"Eric Chou",30850,https://open.spotify.com/track/7zyYmIdjqqiX6kLryb7QBx
149,"No Joke","Show Luo",30808,https://open.spotify.com/track/3hYvxhRtX7Oo8jajOjuiug
150,"你,好不好? - Ending Theme Song of TVBS Series ""Life List""","Eric Chou",30726,https://open.spotify.com/track/2gug6MRv4xQFYi9LA3PJCS
151,Faded,"Alan Walker",30583,https://open.spotify.com/track/698ItKASDavgwZ3WjaWjtz
152,monster,"21 Savage",30522,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU
153,浪費,"LaLa Hsu",29808,https://open.spotify.com/track/3gZ8MaUydTMX27teBh1L22
154,"FAKE LOVE",BTS,29765,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
155,Photograph,"Ed Sheeran",29694,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
156,"成全 - Live","Yoga Lin",29677,https://open.spotify.com/track/4KqLAui7YgZWdaviZ31Zvv
157,"I'm a Mess","Bebe Rexha",29473,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
158,"200 Mph","Bad Bunny",29327,https://open.spotify.com/track/5jGUJXnELDaDTgiRjD9lsg
159,"Happy Now",Zedd,29198,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
160,拋物線,"Tanya Chua",29115,https://open.spotify.com/track/2oZJWtQZ6CLPHHsnUhC3IY
161,天份,"Joker Xue",29064,https://open.spotify.com/track/22G7DKEJZuMuB2DI5NmFpZ
162,"Too Good At Goodbyes","Sam Smith",29062,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
163,ZEZE,"Kodak Black",28802,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
164,"Only Want You","Rita Ora",28770,https://open.spotify.com/track/2CTN6UuO2dNEVZXR0DJVk2
165,Youngblood,"5 Seconds of Summer",28667,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
166,人質,"A-Mei Chang",28647,https://open.spotify.com/track/6OAUhxFZzaRHHC8XiuIkvb
167,幹大事,頑童Mj116,28594,https://open.spotify.com/track/5kmwHTRCdyT8E9vDGRKy7X
168,comethru,"Jeremy Zucker",28560,https://open.spotify.com/track/6fFTPGGItuEpjwXRUIr4rk
169,給我一個理由忘記,A-Lin,28490,https://open.spotify.com/track/2DcmVSLAg0ZzfOQxDshZHY
170,FRIENDS,Marshmello,28321,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
171,"幸福太短 - 電視劇「奇妙的時光之旅」片尾曲",A-Lin,28258,https://open.spotify.com/track/4bUXlEJRyV5YGERzh7AHuy
172,手心的薔薇,"JJ Lin",28187,https://open.spotify.com/track/07DWACsD58aEdq6XnDadLh
173,"Say You Won't Let Go","James Arthur",28080,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
174,逆光,"Stefanie Sun",27995,https://open.spotify.com/track/4x1hB3Yg01Aq6J6q0deS9M
175,"I Love You",EXID,27682,https://open.spotify.com/track/7n2HVHWqFsyAOs5HqmE1Dl
176,愛了很久的朋友(電影「後來的我們」插曲),"Hebe Tien",27608,https://open.spotify.com/track/2CTAAr1Hd21pEvyjxUHHGC
177,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,27474,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
178,"SICKO MODE","Travis Scott",27400,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
179,"when the party's over","Billie Eilish",27199,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
180,"I Like Me Better",Lauv,27137,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
181,獨家記憶,"Jordan Chan",27133,https://open.spotify.com/track/3cSHn8YDBsq4Tlc4RXKSUe
182,"out for the night - part 2","21 Savage",27131,https://open.spotify.com/track/4B8vU5oDXVxO5OkLAI4aLx
183,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",27089,https://open.spotify.com/track/5Gu0PDLN4YJeW75PpBSg9p
184,"Better Now","Post Malone",27003,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
185,年輪說,"Rainie Yang",26949,https://open.spotify.com/track/51PYzHOuwTngW2whaPoYFW
186,Rise,"Jonas Blue",26941,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
187,偉大的渺小,"JJ Lin",26758,https://open.spotify.com/track/1P2RxojrM3KEoKgM7pbc9i
188,"Empty Space","James Arthur",26715,https://open.spotify.com/track/1uru26I2JKd2mQZt0MDCUe
189,辣台妹,頑童Mj116,26624,https://open.spotify.com/track/72uecKUw0CCGWZCP7tzT0y
190,"Look Back at It","A Boogie Wit da Hoodie",26583,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
191,SPOTLIGHT,頑童Mj116,26547,https://open.spotify.com/track/4M7VP5IiIj1saXNFINmxt3
192,我不願讓你一個人,Mayday,26463,https://open.spotify.com/track/0I2We7TVGZhimAXUswSfMl
193,"Woman Like Me (feat. Nicki Minaj)","Little Mix",26228,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED
194,再見,G.E.M.,26161,https://open.spotify.com/track/5UAGQJmL7Rn4gn7wlkMyqS
195,"whoa (mind in awe)",XXXTENTACION,26045,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa
196,晴天,"Jay Chou",25709,https://open.spotify.com/track/0F02KChKwbcQ3tk4q1YxLH
197,"LOVE SCENARIO",iKON,25686,https://open.spotify.com/track/6qAzAmPBUpGrk7XADZHR5k
198,十年,"Eason Chan",25551,https://open.spotify.com/track/25pWemriUQVrZ3yIiS2IBf
199,"不將就 (電影""何以笙簫默""片尾曲)","Ronghao Li",25490,https://open.spotify.com/track/5DH8nF7aWoXXg5Sm3gjCWD
200,"不曾回來過 - 電視劇""通靈少女""插曲",李千那,25463,https://open.spotify.com/track/6QAn6Crff7sfcqC83fH7dd
